GMT-4,2060006b,2070001,2070002,2070002b,2070002c,2070003,2070004,2070005,2070006,2070007,2070008,2070008b,2070009,2070010,2070010b,2070011
,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP
2017-08-08 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-09 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-10 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-11 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-12 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-13 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-14 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-15 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-16 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-17 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-18 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-19 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-20 20:00:00,0.087,0.029,0.017,0.056,0.01,0.027,0.047,0.056,0.008,0.02,0.085,0.013,0.199,0.037,0.111,0.022
2017-08-21 20:00:00,0.002,0,0,0.004,0,0,0.026,0.032,0.049,0.013,0.01,0.001,0.001,0.077,0.209,0.306
2017-08-22 20:00:00,0,0.003,0.105,0.045,0.093,0.051,0.085,0.015,0.004,0.018,0.007,0,0.051,0,0,0.008
2017-08-23 20:00:00,0.092,0.207,0.605,0.752,0.663,0.407,0.197,0.015,0.076,0.122,0.071,0.084,0.25,0.003,0,0.026
2017-08-24 20:00:00,0,0,0.032,0,0.007,0.034,0.007,0.004,0.006,0,0,0,0,0,0,0
2017-08-25 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-08-26 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-27 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-28 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-29 20:00:00,0.705,0.112,0.044,0.082,0.077,0.061,0.119,0.729,0.425,0.524,0.611,0.666,0.399,0.939,0.845,1.132
2017-08-30 20:00:00,0,0.003,0.001,0.001,0,0.001,0,0.026,0.03,0,0,0,0,0,0,0.006
2017-08-31 20:00:00,0.002,0,0.001,0.003,0.002,0,0.002,0.013,0.018,0,0,0,0.004,0,0,0.006
2017-09-01 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-02 20:00:00,0.852,0.244,0.15,0.112,0.164,0.201,0.217,0.276,0.271,0.098,0.438,0.785,0.303,0.84,0.632,0.742
2017-09-03 20:00:00,0.001,0.006,0.048,0.009,0.005,0.023,0.063,0,0.007,0.011,0.003,0,0.031,0.001,0.001,0.062
2017-09-04 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-05 20:00:00,0.922,0.323,0.462,0.576,0.584,0.604,0.624,0.146,0.225,0.687,0.714,1.15,0.538,0.257,0.211,0.018
2017-09-06 20:00:00,0.604,0.344,0.374,0.353,0.438,0.357,0.474,0.657,0.517,0.69,0.758,0.765,0.919,0.495,0.608,0.389
2017-09-07 20:00:00,0.032,0,0.008,0.014,0.008,0.016,0.038,0,0.004,0.001,0.01,0.01,0.006,0.066,0.018,0.087
2017-09-08 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-09 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-10 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-11 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-12 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-13 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-14 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-15 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-16 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-17 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-18 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-19 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-20 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-21 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-22 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2017-09-23 20:00:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
